latitude,longitude,label
10.6014026,76.9615802,partly coconut farm
10.5979906,76.9674112,partly coconut farm
10.5967111,76.9626092,coconut farm
10.5992701,76.9598652,coconut farm
10.5992701,76.9756432,partly coconut farm
10.5954316,76.9588362,coconut farm
10.5962846,76.9663822,coconut farm
10.6001231,76.9742712,partly coconut farm
10.5928726,76.9732422,coconut farm
10.5962846,76.9564352,partly coconut farm
10.6022556,76.9622662,coconut farm
10.5992701,76.9698122,partly coconut farm
10.5928726,76.9684402,partly coconut farm
10.5941521,76.9653532,partly coconut farm
10.5967111,76.9602082,partly coconut farm
10.6001231,76.9632952,partly coconut farm
10.5967111,76.9643242,coconut farm
10.5941521,76.9547202,coconut farm
10.5945786,76.9787302,partly coconut farm
10.6005496,76.9588362,coconut farm
10.6018291,76.9670682,partly coconut farm
10.5988436,76.9749572,coconut farm
10.5950051,76.9584932,coconut farm
10.6018291,76.9677542,partly coconut farm
10.5941521,76.9694692,not coconut farm
10.5984171,76.9557492,not coconut farm
10.5975641,76.9639812,coconut farm
10.5945786,76.9715272,partly coconut farm
10.6026821,76.9770152,coconut farm
10.6026821,76.9650102,coconut farm
10.5979906,76.9564352,not coconut farm
10.5996966,76.9540342,partly coconut farm
10.6035351,76.9536912,coconut farm
10.6022556,76.9766722,coconut farm
10.6031086,76.9708412,not coconut farm
10.5932991,76.9632952,partly coconut farm
10.5979906,76.9787302,not coconut farm
10.6022556,76.9612372,coconut farm
10.5975641,76.9626092,partly coconut farm
10.5958581,76.9533482,not coconut farm
10.5950051,76.9780442,partly coconut farm
10.5975641,76.9708412,coconut farm
10.6022556,76.9701552,not coconut farm
10.5945786,76.9780442,coconut farm
10.5954316,76.9718702,partly coconut farm
10.5992701,76.9670682,coconut farm
10.5937256,76.9567782,partly coconut farm
10.5937256,76.9615802,coconut farm
10.5971376,76.9595222,partly coconut farm
10.5996966,76.9759862,not coconut farm
10.6009761,76.9612372,partly coconut farm
10.5958581,76.9790732,not coconut farm
10.6009761,76.9780442,partly coconut farm
10.5962846,76.9701552,not coconut farm
10.5975641,76.9660392,coconut farm
10.5962846,76.9523192,coconut farm
10.5932991,76.9756432,partly coconut farm
10.5984171,76.9523192,not coconut farm
10.5954316,76.9790732,not coconut farm
10.5975641,76.9732422,coconut farm
10.6018291,76.9728992,coconut farm
10.6018291,76.9523192,coconut farm
10.6031086,76.9780442,coconut farm
10.6001231,76.9567782,coconut farm
10.6031086,76.9698122,not coconut farm
10.5941521,76.9516332,not coconut farm
10.5954316,76.9509472,not coconut farm
10.5958581,76.9530052,partly coconut farm
10.6009761,76.9550632,coconut farm
10.5962846,76.9626092,coconut farm
10.6018291,76.9550632,coconut farm
10.5984171,76.9680972,not coconut farm
10.5967111,76.9560922,coconut farm
10.5988436,76.9704982,coconut farm
10.5928726,76.9766722,partly coconut farm
10.6009761,76.9598652,coconut farm
10.5975641,76.9526622,partly coconut farm
10.5979906,76.9715272,coconut farm
10.5962846,76.9790732,partly coconut farm
10.5975641,76.9684402,partly coconut farm
10.5962846,76.9691262,partly coconut farm
10.5984171,76.9677542,partly coconut farm
10.5988436,76.9557492,not coconut farm
10.6031086,76.9605512,coconut farm
10.5975641,76.9739282,partly coconut farm
10.5971376,76.9749572,partly coconut farm
10.5975641,76.9698122,coconut farm
10.5975641,76.9735852,coconut farm
10.5941521,76.9667252,coconut farm
10.6022556,76.9780442,coconut farm
10.5962846,76.9739282,coconut farm
10.5992701,76.9547202,not coconut farm
10.6035351,76.9622662,coconut farm
10.5988436,76.9677542,partly coconut farm
10.6018291,76.9718702,not coconut farm
10.5996966,76.9581502,partly coconut farm
10.6001231,76.9698122,partly coconut farm
10.5941521,76.9680972,coconut farm
10.5945786,76.9773582,coconut farm
10.6001231,76.9728992,not coconut farm
10.5988436,76.9516332,not coconut farm
10.5945786,76.9742712,coconut farm
10.5975641,76.9667252,coconut farm
10.5996966,76.9670682,partly coconut farm
10.5937256,76.9684402,not coconut farm
