latitude,longitude,label
9.6800825,77.2749859,partly coconut farm
9.6954365,77.2698409,partly coconut farm
9.6877595,77.2763579,coconut farm
9.690745,77.2670969,not coconut farm
9.6766705,77.2653819,not coconut farm
9.678803,77.2718989,partly coconut farm
9.6869065,77.2701839,coconut farm
9.688186,77.2688119,partly coconut farm
9.684774,77.2842469,not coconut farm
9.6877595,77.2712129,not coconut farm
9.7005545,77.2701839,not coconut farm
9.680509,77.2605799,partly coconut farm
9.6860535,77.2760149,partly coconut farm
9.6911715,77.2712129,coconut farm
9.679656,77.2626379,partly coconut farm
9.6928775,77.2585219,not coconut farm
9.678803,77.2753289,partly coconut farm
9.677097,77.2787589,coconut farm
9.693304,77.2684689,coconut farm
9.68648,77.2588649,coconut farm
9.68648,77.2842469,not coconut farm
9.681362,77.2715559,not coconut farm
9.6954365,77.2712129,coconut farm
9.67795,77.2561209,not coconut farm
9.6937305,77.2845899,not coconut farm
9.6945835,77.2571499,partly coconut farm
9.694157,77.2835609,not coconut farm
9.683068,77.2592079,coconut farm
9.6766705,77.2794449,partly coconut farm
9.6783765,77.2756719,not coconut farm
9.6911715,77.2866479,not coconut farm
9.6783765,77.2815029,partly coconut farm
9.684774,77.2701839,partly coconut farm
9.6834945,77.2598939,partly coconut farm
9.699275,77.2698409,not coconut farm
9.6783765,77.2554349,partly coconut farm
9.684774,77.2602369,partly coconut farm
9.6962895,77.2622949,not coconut farm
9.6809355,77.2725849,not coconut farm
9.67795,77.2691549,partly coconut farm
9.685627,77.2708699,partly coconut farm
9.697569,77.2869909,not coconut farm
9.677097,77.2804739,coconut farm
9.696716,77.2832179,partly coconut farm
9.6945835,77.2640099,not coconut farm
9.693304,77.2825319,not coconut farm
9.700128,77.2705269,partly coconut farm
9.6809355,77.2550919,partly coconut farm
9.6937305,77.2568069,coconut farm
9.693304,77.2670969,coconut farm
9.68648,77.2767009,coconut farm
9.683068,77.2691549,coconut farm
9.696716,77.2677829,not coconut farm
9.694157,77.2849329,not coconut farm
9.696716,77.2842469,not coconut farm
9.697569,77.2688119,not coconut farm
9.688186,77.2718989,not coconut farm
9.689039,77.2574929,coconut farm
9.681362,77.2749859,not coconut farm
9.692451,77.2746429,coconut farm
9.6928775,77.2815029,not coconut farm
9.698422,77.2849329,partly coconut farm
9.688186,77.2694979,not coconut farm
9.6826415,77.2646959,coconut farm
9.69501,77.2815029,not coconut farm
9.689892,77.2657249,not coconut farm
9.6920245,77.2674399,coconut farm
9.688186,77.2677829,partly coconut farm
9.689039,77.2674399,coconut farm
9.681362,77.2712129,not coconut farm
9.6843475,77.2804739,not coconut farm
9.6843475,77.2561209,coconut farm
9.6809355,77.2722419,not coconut farm
9.698422,77.2763579,coconut farm
9.676244,77.2746429,partly coconut farm
9.696716,77.2698409,coconut farm
9.6954365,77.2684689,partly coconut farm
9.690745,77.2667539,not coconut farm
9.6758175,77.2791019,partly coconut farm
9.685627,77.2842469,partly coconut farm
9.695863,77.2849329,not coconut farm
9.691598,77.2815029,not coconut farm
9.691598,77.2664109,coconut farm
9.6783765,77.2646959,not coconut farm
9.7014075,77.2616089,not coconut farm
9.690745,77.2842469,not coconut farm
9.695863,77.2770439,partly coconut farm
9.6809355,77.2780729,not coconut farm
9.696716,77.2839039,not coconut farm
9.695863,77.2880199,not coconut farm
9.687333,77.2643529,coconut farm
9.690745,77.2581789,partly coconut farm
